station,Latitude,Longitude,Altitude
22016001,48.855167,-3.0045,25
22092001,48.404,-3.147667,281
22135001,48.551667,-3.376833,148
22147006,48.182667,-2.410833,131
22168001,48.825833,-3.473167,55
22219003,48.265833,-2.748333,235
22247002,48.742,-3.251,55
22261002,48.519167,-2.42,71
22266001,48.2315,-3.307667,262
22282001,48.6445,-2.247,35
22372001,48.534667,-2.852,135
29158001,47.7975,-4.374833,3
29163003,48.5,-3.8535,147
29168001,48.038833,-4.732,67
29263002,48.227667,-4.098,63
29276001,48.660333,-4.0775,58
29278001,48.1735,-3.7295,138
35228001,48.589,-2.075833,58
44069002,47.292333,-2.430167,4
44184001,47.233667,-2.2985,14
56007001,47.659167,-2.971,26
56009001,47.294333,-3.218333,34
56017003,47.884333,-2.728833,112
56069001,47.652333,-3.502333,41
56159001,47.7655,-2.387167,65
56165003,47.950833,-2.3975,65
56178003,48.063667,-2.945833,83
56185001,47.762833,-3.435667,45
56240003,47.511667,-2.797,37
56243001,47.6045,-2.714167,3
56251001,47.6415,-2.621333,29
85163001,47.004667,-2.257167,3
