station,Latitude,Longitude,Temperature
22016001,48.855167,-3.0045,280.15
22092001,48.404,-3.147667,279.05
22135001,48.551667,-3.376833,280.35
22147006,48.182667,-2.410833,279.25
22168001,48.825833,-3.473167,280.55
22219003,48.265833,-2.748333,279.05
22247002,48.742,-3.251,280.25
22261002,48.519167,-2.42,279.95
22266001,48.2315,-3.307667,279.95
22282001,48.6445,-2.247,279.25
22372001,48.534667,-2.852,280.65
29158001,47.7975,-4.374833,284.55
29163003,48.5,-3.8535,280.85
29168001,48.038833,-4.732,283.65
29263002,48.227667,-4.098,282.15
29276001,48.660333,-4.0775,280.55
29278001,48.1735,-3.7295,281.45
35228001,48.589,-2.075833,279.95
44069002,47.292333,-2.430167,283.55
44184001,47.233667,-2.2985,283.05
56007001,47.659167,-2.971,283.45
56009001,47.294333,-3.218333,284.45
56017003,47.884333,-2.728833,280.25
56069001,47.652333,-3.502333,282.15
56159001,47.7655,-2.387167,281.45
56165003,47.950833,-2.3975,280.75
56178003,48.063667,-2.945833,280.35
56185001,47.762833,-3.435667,282.15
56240003,47.511667,-2.797,282.95
56243001,47.6045,-2.714167,282.85
56251001,47.6415,-2.621333,282.45
85163001,47.004667,-2.257167,282.65
